event_id,user_id,track_id,artist_id,timestamp_utc,genre,session_context,play_source,track_duration_sec,completion_rate,saved,skipped,playlist_add,repeated_within_7d,explicit_intent,low_intent_context
37,17626,5936,1388,2025-03-20 17:38:42+00:00,hip-hop,intentional,playlist,224,0.6596,0,0,0,0,1,0
38,5147,3155,363,2025-05-28 15:06:07+00:00,hip-hop,focus,radio,151,0.8876,0,0,0,0,0,1
39,2424,6967,331,2025-05-05 04:54:54+00:00,hip-hop,intentional,autoplay,208,0.6381,1,0,1,1,1,0
40,5249,2763,80,2025-02-11 18:33:09+00:00,classical,workout,radio,215,0.8189,0,0,0,0,0,0
41,15496,2764,393,2025-06-09 07:50:11+00:00,classical,focus,search,188,0.9542,0,1,0,0,1,1
42,18860,4572,1268,2025-06-02 02:36:23+00:00,classical,shared_account,autoplay,130,0.8847,0,0,0,0,0,1
43,12239,1603,1288,2025-04-08 04:10:52+00:00,ambient,workout,recommendation,250,0.6616,0,0,0,0,0,0
44,4909,58,451,2025-05-30 00:22:41+00:00,classical,intentional,search,162,0.57,0,0,0,0,1,0
45,12018,5106,813,2025-03-20 20:54:48+00:00,ambient,shared_account,search,221,0.7889,0,0,0,1,1,1
46,10193,5822,1038,2025-05-10 07:04:21+00:00,alt-pop,shared_account,autoplay,268,0.9795,1,1,0,0,0,1
47,10359,6438,82,2025-05-28 18:40:15+00:00,dance,focus,radio,141,0.9406,0,0,0,0,0,1
48,6998,1231,739,2025-01-14 10:33:24+00:00,ambient,intentional,playlist,262,0.9606,0,0,1,0,1,0
49,2774,5173,1549,2025-03-19 16:28:02+00:00,alt-pop,workout,radio,198,0.8752,0,0,0,0,0,0
50,7226,3575,643,2025-02-05 07:51:43+00:00,electronic,intentional,autoplay,225,0.6077,0,0,0,0,1,0
51,17808,4391,606,2025-03-23 06:10:25+00:00,dance,intentional,playlist,136,0.7303,0,0,0,0,1,0
52,8165,7748,385,2025-06-21 18:27:07+00:00,jazz,intentional,library,224,0.6783,1,0,0,1,1,0
53,415,6146,35,2025-03-07 16:53:27+00:00,classical,party,search,199,0.7796,1,0,0,0,1,0
54,6901,3977,1693,2025-04-22 23:31:45+00:00,ambient,workout,playlist,157,0.5618,0,1,0,0,0,0
55,9220,6575,265,2025-05-19 15:46:02+00:00,classical,workout,recommendation,231,0.9787,0,1,0,0,0,0
56,11999,7922,201,2025-05-18 04:37:43+00:00,jazz,party,radio,256,0.9036,0,0,0,0,0,0
57,12833,4282,1299,2025-01-13 02:01:29+00:00,electronic,focus,playlist,202,0.9532,0,0,0,0,0,1
58,8510,701,311,2025-03-07 17:02:50+00:00,electronic,sleep,recommendation,253,0.8222,0,0,0,0,0,1
59,2864,4196,526,2025-01-11 04:55:12+00:00,jazz,intentional,playlist,191,0.5861,0,0,0,0,1,0
60,8821,1291,303,2025-01-31 10:47:55+00:00,ambient,intentional,playlist,294,0.8017,0,1,1,0,1,0
61,67,3183,1107,2025-02-22 12:54:06+00:00,dance,workout,search,179,0.8225,0,0,0,0,1,0
62,10120,5043,1194,2025-02-21 17:18:13+00:00,indie,focus,autoplay,287,0.7008,0,0,0,0,0,1
63,8904,940,767,2025-01-05 13:22:26+00:00,classical,sleep,autoplay,200,0.7422,0,0,0,0,0,1
64,7124,6833,780,2025-03-21 23:35:33+00:00,electronic,party,autoplay,237,0.6992,0,0,0,0,0,0
65,13237,1366,970,2025-02-01 06:37:01+00:00,classical,workout,playlist,134,0.7266,0,0,0,0,0,0
66,15092,2759,791,2025-05-31 12:02:44+00:00,dance,sleep,playlist,135,0.8517,0,0,0,0,0,1
67,5277,1961,1904,2025-03-12 10:52:24+00:00,indie,sleep,library,328,0.8475,0,1,1,0,1,1
68,10070,5765,855,2025-03-17 17:32:21+00:00,ambient,intentional,recommendation,121,0.589,0,0,0,0,1,0
69,10195,5004,275,2025-01-21 01:51:45+00:00,alt-pop,intentional,search,236,0.4578,0,0,0,0,1,0
70,10185,5936,1887,2025-01-24 03:44:04+00:00,dance,focus,autoplay,216,0.5966,0,0,0,0,0,1
71,8066,3071,64,2025-05-26 20:39:54+00:00,dance,intentional,autoplay,253,0.6174,0,0,0,0,1,0
72,4197,4902,1642,2025-03-28 15:02:57+00:00,classical,focus,library,120,0.8422,0,0,0,0,1,1
73,3430,3620,1219,2025-06-29 19:43:06+00:00,alt-pop,shared_account,playlist,158,0.9758,0,0,0,0,0,1
74,617,6933,1565,2025-04-19 09:58:28+00:00,dance,intentional,search,191,0.6824,0,0,1,0,1,0
75,1043,1774,319,2025-01-31 23:49:01+00:00,indie,intentional,radio,313,0.9038,0,0,0,0,1,0
76,16186,1969,444,2025-06-15 18:58:11+00:00,ambient,intentional,recommendation,193,0.9141,0,0,1,0,1,0
77,1400,1910,962,2025-04-30 10:20:25+00:00,electronic,intentional,playlist,239,0.8779,1,0,0,0,1,0
78,17110,5557,1722,2025-02-19 11:45:30+00:00,dance,workout,recommendation,240,0.6149,1,1,0,0,0,0
79,17931,5102,89,2025-05-19 12:00:11+00:00,jazz,sleep,search,207,0.7177,0,0,0,0,1,1
80,4825,3278,1489,2025-02-21 08:28:50+00:00,hip-hop,party,playlist,294,0.8429,0,0,0,0,0,0
81,8860,7751,1951,2025-04-06 19:52:08+00:00,classical,workout,recommendation,269,0.4126,0,0,0,1,0,0
82,7201,6061,1823,2025-04-03 02:13:38+00:00,jazz,focus,recommendation,213,0.9379,0,0,0,0,0,1
83,7878,323,1675,2025-05-25 15:28:17+00:00,classical,shared_account,playlist,183,0.9964,0,0,0,0,0,1
84,7161,5015,1592,2025-04-08 19:12:11+00:00,electronic,intentional,autoplay,178,0.9203,1,1,0,0,1,0
85,6849,3111,1480,2025-04-03 16:35:57+00:00,alt-pop,intentional,recommendation,316,0.6431,0,0,0,0,1,0
86,13685,571,448,2025-06-01 00:56:09+00:00,alt-pop,intentional,autoplay,146,0.6851,0,0,1,0,1,0
87,8254,4365,1292,2025-04-16 00:59:56+00:00,ambient,party,radio,155,0.8384,0,0,0,0,0,0
88,3745,6741,1505,2025-04-29 14:02:19+00:00,jazz,focus,library,174,0.6354,0,0,0,0,1,1
89,7577,6222,1074,2025-01-22 09:24:12+00:00,alt-pop,intentional,search,294,0.8774,0,0,0,1,1,0
90,19575,4735,432,2025-05-12 15:00:54+00:00,ambient,focus,radio,264,0.66,0,0,0,0,0,1
91,19757,4622,1859,2025-04-25 07:55:41+00:00,dance,intentional,playlist,322,0.7714,1,1,0,0,1,0
92,1238,844,643,2025-01-03 02:17:03+00:00,indie,workout,library,271,0.4108,0,1,0,0,1,0
93,11516,4546,1299,2025-01-25 07:42:14+00:00,ambient,focus,library,223,0.9684,0,0,0,0,1,1
94,19476,4978,1039,2025-06-26 22:28:30+00:00,jazz,focus,playlist,128,0.914,0,1,1,0,0,1
95,3878,1301,1854,2025-03-13 22:53:26+00:00,dance,intentional,playlist,304,0.5149,0,0,0,0,1,0
96,1376,3575,1965,2025-05-25 01:00:14+00:00,hip-hop,workout,playlist,260,0.639,0,0,0,0,0,0
97,4240,1488,989,2025-01-03 18:26:14+00:00,alt-pop,focus,playlist,135,0.7196,0,0,0,0,0,1
98,6351,625,164,2025-06-12 10:08:21+00:00,classical,intentional,search,323,0.863,0,0,0,0,1,0
99,18694,873,1410,2025-03-22 12:20:51+00:00,jazz,intentional,recommendation,250,0.6313,0,0,0,0,1,0
100,5014,6382,924,2025-02-13 09:12:57+00:00,dance,autoplay,radio,250,0.9331,0,0,0,0,0,1
101,6640,7854,105,2025-04-03 03:58:40+00:00,hip-hop,autoplay,library,194,0.8648,0,0,0,0,1,1
102,5193,6468,143,2025-04-04 10:31:06+00:00,dance,workout,playlist,189,0.8385,0,0,0,0,0,0
103,7831,762,1056,2025-04-22 19:12:35+00:00,jazz,intentional,playlist,196,0.5411,0,0,1,1,1,0
104,19894,7274,1977,2025-03-10 03:47:12+00:00,ambient,autoplay,radio,130,0.9627,0,0,0,0,0,1
105,1677,2503,1599,2025-06-04 22:52:40+00:00,classical,party,radio,214,0.7202,0,0,0,0,0,0
106,9168,5181,514,2025-04-01 13:27:59+00:00,classical,workout,autoplay,133,0.8557,0,1,0,0,0,0
107,12279,3282,980,2025-04-19 04:46:02+00:00,jazz,focus,autoplay,245,0.9907,0,0,0,0,0,1
108,2391,7543,1576,2025-01-10 03:01:56+00:00,hip-hop,intentional,search,163,0.8172,0,0,0,0,1,0
109,889,1928,1772,2025-04-12 12:05:23+00:00,classical,intentional,playlist,249,0.3339,0,0,0,0,1,0
110,19646,3176,269,2025-06-06 00:16:50+00:00,hip-hop,autoplay,search,198,0.8117,0,0,0,0,1,1
111,5384,4255,527,2025-03-25 00:09:09+00:00,electronic,focus,playlist,178,0.9308,0,1,0,0,0,1
112,4854,1962,1970,2025-02-04 03:48:40+00:00,indie,intentional,playlist,150,0.5999,0,0,0,1,1,0
113,6974,6174,1500,2025-03-24 21:39:07+00:00,dance,intentional,autoplay,200,0.4963,0,1,0,1,1,0
114,1451,2005,1060,2025-01-16 00:21:17+00:00,jazz,sleep,library,134,0.8673,0,0,0,0,1,1
115,2939,7635,247,2025-06-06 19:05:28+00:00,classical,intentional,autoplay,172,0.8458,1,0,0,0,1,0
116,484,547,1439,2025-06-22 00:50:07+00:00,electronic,shared_account,playlist,217,0.9213,0,1,0,0,0,1
117,10698,996,377,2025-01-22 18:31:22+00:00,ambient,party,playlist,252,0.736,0,1,0,0,0,0
118,9265,5315,1933,2025-04-12 15:23:11+00:00,electronic,workout,autoplay,216,0.7807,0,0,0,0,0,0
119,5482,5600,33,2025-03-03 20:31:02+00:00,electronic,focus,search,141,0.8564,0,0,0,0,1,1
120,18367,693,1707,2025-03-25 19:21:14+00:00,dance,sleep,playlist,271,0.8049,0,1,1,0,0,1
121,6106,1908,1967,2025-04-03 02:43:41+00:00,hip-hop,sleep,playlist,208,0.7934,0,0,0,0,0,1
122,340,1512,1719,2025-06-23 09:27:53+00:00,indie,workout,autoplay,251,0.4356,0,1,0,0,0,0
123,1994,7423,1700,2025-04-21 12:14:18+00:00,dance,intentional,library,325,0.5659,0,0,1,0,1,0
124,14504,5633,1588,2025-03-13 19:18:12+00:00,electronic,focus,recommendation,130,0.8519,0,0,0,0,0,1
125,10665,4475,431,2025-03-27 22:27:27+00:00,jazz,intentional,recommendation,327,0.7252,0,0,1,0,1,0
126,5209,4192,161,2025-06-21 05:08:18+00:00,classical,focus,autoplay,319,0.9539,0,0,0,0,0,1
127,4949,3042,559,2025-05-09 12:11:50+00:00,electronic,intentional,library,228,0.9453,1,0,0,0,1,0
128,4382,6929,1839,2025-05-04 02:06:03+00:00,dance,intentional,autoplay,125,0.7266,0,0,0,0,1,0
129,8438,476,1137,2025-06-27 20:00:08+00:00,classical,intentional,search,171,0.4944,0,0,0,0,1,0
130,14076,7703,158,2025-05-26 02:06:37+00:00,dance,sleep,recommendation,167,0.5882,0,0,0,0,0,1
131,12763,7950,1573,2025-06-03 04:27:56+00:00,alt-pop,intentional,playlist,242,0.5803,1,0,1,1,1,0
132,14958,7610,615,2025-01-16 23:01:25+00:00,electronic,autoplay,library,265,0.8462,0,0,0,0,1,1
133,825,6238,1568,2025-06-07 11:41:07+00:00,electronic,sleep,playlist,222,0.83,0,0,0,0,0,1
134,11181,5845,691,2025-03-18 16:56:46+00:00,classical,intentional,autoplay,194,0.4141,1,0,0,1,1,0
135,15289,5149,422,2025-01-11 04:48:35+00:00,jazz,sleep,recommendation,128,0.8527,0,0,0,0,0,1
136,4046,6304,1600,2025-06-11 23:00:32+00:00,alt-pop,intentional,playlist,317,0.7203,0,0,1,0,1,0
137,11656,1597,1644,2025-03-02 17:41:05+00:00,ambient,autoplay,playlist,327,0.9796,0,0,0,0,0,1
138,127,3284,402,2025-02-08 22:48:34+00:00,classical,focus,autoplay,126,0.8967,0,0,0,0,0,1
139,18197,4978,7,2025-05-19 01:40:33+00:00,electronic,party,autoplay,188,0.3849,0,0,0,0,0,0
140,14746,2445,820,2025-03-21 23:18:03+00:00,classical,intentional,autoplay,326,0.7332,0,0,0,0,1,0
141,12461,279,691,2025-04-21 05:37:48+00:00,alt-pop,focus,playlist,203,0.9836,0,0,0,0,0,1
142,11993,5808,1627,2025-01-16 18:22:54+00:00,hip-hop,focus,autoplay,250,0.9826,0,0,0,0,0,1
143,13400,2335,1132,2025-02-02 04:57:04+00:00,alt-pop,autoplay,recommendation,227,0.72,0,0,0,0,0,1
144,8451,5029,922,2025-06-24 14:34:27+00:00,dance,sleep,library,252,0.9384,0,1,1,0,1,1
145,19338,7680,1550,2025-01-03 02:02:15+00:00,ambient,focus,playlist,304,0.9069,0,1,0,0,0,1
146,4272,4593,1832,2025-03-22 09:44:39+00:00,ambient,intentional,search,199,0.6446,0,0,0,0,1,0
147,16212,7521,1470,2025-03-08 20:34:50+00:00,alt-pop,intentional,playlist,287,0.7085,1,1,0,0,1,0
148,15239,6841,1377,2025-04-01 12:32:22+00:00,ambient,sleep,autoplay,215,0.9356,0,0,0,0,0,1
149,16752,3470,258,2025-04-11 00:54:30+00:00,indie,focus,library,163,0.8357,0,0,0,0,1,1
150,1418,6094,1398,2025-06-18 18:29:31+00:00,hip-hop,intentional,radio,135,0.7071,0,0,0,0,1,0
151,8903,6633,871,2025-01-23 07:28:14+00:00,dance,shared_account,search,270,0.7399,0,0,0,0,1,1
152,12855,5911,860,2025-05-09 02:26:35+00:00,dance,autoplay,recommendation,246,0.9865,0,1,0,0,0,1
153,12379,1806,1666,2025-05-05 02:45:07+00:00,alt-pop,intentional,autoplay,303,0.7234,0,0,0,1,1,0
154,13768,3756,581,2025-06-14 10:06:00+00:00,indie,sleep,radio,169,0.7331,0,1,0,0,0,1
155,12686,5104,1593,2025-03-28 01:41:33+00:00,jazz,intentional,autoplay,269,0.4787,0,0,0,0,1,0
156,4466,3314,1509,2025-01-15 17:18:43+00:00,ambient,workout,search,124,0.9405,0,0,0,0,1,0
157,16559,1306,416,2025-06-12 10:01:47+00:00,classical,intentional,recommendation,149,0.7099,0,0,0,0,1,0
158,9667,6250,46,2025-06-09 11:48:39+00:00,indie,workout,autoplay,244,0.4829,1,0,0,0,0,0
159,19414,1205,133,2025-01-10 16:55:54+00:00,ambient,party,search,233,0.4885,0,0,0,0,1,0
160,10404,498,1753,2025-02-25 14:18:48+00:00,alt-pop,party,recommendation,244,0.5246,0,0,0,0,0,0
161,10751,6875,32,2025-05-10 23:57:08+00:00,electronic,intentional,search,296,0.6298,1,0,0,0,1,0
162,11826,6773,1266,2025-03-15 19:48:59+00:00,alt-pop,autoplay,radio,295,0.78,0,1,0,0,0,1
163,17422,5478,640,2025-04-27 09:02:14+00:00,ambient,intentional,library,161,0.7012,0,0,0,0,1,0
164,18024,4456,817,2025-05-02 12:16:36+00:00,hip-hop,intentional,autoplay,162,0.7368,0,0,0,0,1,0
165,11695,4861,464,2025-02-15 16:48:43+00:00,jazz,sleep,search,233,0.8331,1,0,0,0,1,1
166,10929,4769,82,2025-04-29 20:30:01+00:00,hip-hop,focus,search,321,0.9674,0,0,0,0,1,1
167,1090,7613,704,2025-01-28 18:02:12+00:00,classical,shared_account,playlist,260,0.9711,0,0,0,0,0,1
168,1347,4770,1259,2025-02-14 00:56:39+00:00,alt-pop,shared_account,recommendation,150,0.5676,0,0,0,1,0,1
169,14731,3448,213,2025-06-08 05:09:29+00:00,electronic,intentional,library,253,0.8782,0,0,1,0,1,0
170,6900,5539,1095,2025-05-21 05:16:35+00:00,classical,autoplay,radio,191,0.6346,0,1,0,0,0,1
171,8735,645,828,2025-03-08 11:08:44+00:00,alt-pop,intentional,playlist,142,0.5697,1,0,0,0,1,0
172,12567,1251,1234,2025-04-17 04:29:56+00:00,hip-hop,sleep,recommendation,269,0.9601,0,0,0,0,0,1
173,4438,215,40,2025-01-05 21:02:20+00:00,ambient,intentional,library,178,0.732,0,0,0,0,1,0
174,6663,5820,1710,2025-04-11 21:32:19+00:00,indie,autoplay,radio,282,0.881,0,0,0,0,0,1
175,859,1985,1,2025-06-14 00:15:07+00:00,classical,intentional,recommendation,235,0.3514,0,0,0,0,1,0
176,15359,459,1612,2025-03-18 22:14:59+00:00,dance,intentional,playlist,213,0.6781,0,0,0,0,1,0
177,10171,1822,1085,2025-03-05 14:58:42+00:00,alt-pop,focus,playlist,163,0.8662,0,0,0,0,0,1
178,3799,2780,741,2025-06-02 21:52:49+00:00,hip-hop,autoplay,recommendation,181,0.9607,0,1,0,0,0,1
179,11922,1766,1658,2025-03-03 19:16:54+00:00,hip-hop,autoplay,playlist,190,0.8676,0,0,0,0,0,1
180,2861,7911,1512,2025-05-31 03:01:41+00:00,alt-pop,party,playlist,265,0.6263,0,1,0,0,0,0
181,15614,4807,185,2025-02-24 04:05:41+00:00,hip-hop,autoplay,playlist,207,0.746,0,0,0,0,0,1
182,4621,1967,602,2025-04-13 08:55:00+00:00,alt-pop,autoplay,autoplay,127,0.8348,0,0,0,0,0,1
183,5407,5499,539,2025-05-25 15:21:15+00:00,classical,sleep,recommendation,122,0.7839,0,0,0,1,0,1
184,17522,5905,209,2025-01-11 15:29:39+00:00,ambient,intentional,autoplay,177,0.7693,0,1,0,0,1,0
185,14861,6413,1124,2025-04-16 11:00:18+00:00,ambient,party,radio,227,0.4206,0,1,0,0,0,0
186,13619,4543,1744,2025-01-17 12:18:50+00:00,alt-pop,workout,playlist,189,0.6896,0,1,0,0,0,0
187,12037,768,1699,2025-06-15 22:09:30+00:00,indie,focus,search,328,0.9059,0,0,0,0,1,1
188,10401,1391,1276,2025-06-26 16:40:33+00:00,ambient,intentional,library,168,0.8345,0,0,0,0,1,0
189,3841,7049,768,2025-06-18 02:42:28+00:00,indie,party,library,205,0.5349,0,1,0,0,1,0
190,6007,7798,1099,2025-04-10 20:24:15+00:00,dance,intentional,search,203,0.8717,0,0,0,0,1,0
191,19254,4375,1725,2025-06-07 17:55:55+00:00,jazz,autoplay,autoplay,177,0.6157,0,0,0,0,0,1
192,18372,1747,1202,2025-04-19 21:01:19+00:00,jazz,intentional,library,305,0.6438,0,0,0,0,1,0
193,14528,5743,194,2025-03-05 16:22:38+00:00,indie,intentional,search,173,0.5688,0,0,0,0,1,0
194,17776,6268,1666,2025-04-10 06:39:58+00:00,alt-pop,shared_account,playlist,122,0.8744,0,0,0,0,0,1
195,16084,5278,1277,2025-05-21 06:05:29+00:00,indie,intentional,library,228,0.9478,0,0,0,0,1,0
196,7989,2332,1447,2025-01-05 00:32:39+00:00,alt-pop,intentional,library,253,0.8055,0,0,0,0,1,0
197,14311,4238,1054,2025-06-17 14:16:48+00:00,alt-pop,sleep,library,215,0.7767,1,0,0,0,1,1
198,15055,982,1384,2025-02-12 04:28:01+00:00,electronic,shared_account,library,208,0.9908,0,0,0,0,1,1
199,2768,1404,1383,2025-03-08 21:34:34+00:00,classical,intentional,radio,301,0.6931,1,0,0,0,1,0
200,18272,6426,808,2025-01-20 19:02:01+00:00,jazz,intentional,autoplay,198,0.7295,0,0,0,1,1,0
201,9861,7412,271,2025-01-27 20:50:57+00:00,hip-hop,party,recommendation,254,0.3771,0,0,0,0,0,0
202,6268,1823,435,2025-01-29 10:26:30+00:00,electronic,autoplay,autoplay,295,0.7116,0,1,0,1,0,1
203,9483,2082,1446,2025-03-31 11:53:43+00:00,classical,focus,radio,203,0.7429,0,0,0,0,0,1
204,6575,6185,433,2025-01-24 16:34:06+00:00,dance,intentional,recommendation,233,0.8927,1,0,1,0,1,0
205,6651,5925,40,2025-06-22 17:26:12+00:00,classical,intentional,playlist,201,0.7188,0,0,0,0,1,0
206,10917,2171,291,2025-04-16 02:43:14+00:00,jazz,intentional,autoplay,249,0.3621,1,0,1,0,1,0
207,19953,3829,817,2025-06-20 16:47:38+00:00,dance,intentional,playlist,234,0.9454,0,0,0,0,1,0
208,8168,2956,1962,2025-03-04 13:57:00+00:00,classical,workout,playlist,298,0.8955,0,0,0,0,0,0
209,4294,4298,713,2025-04-24 22:07:18+00:00,dance,intentional,playlist,173,0.649,0,0,0,0,1,0
210,15230,49,1534,2025-04-06 18:21:58+00:00,electronic,focus,library,153,0.9583,0,0,1,1,1,1
211,5900,332,1103,2025-03-28 09:36:38+00:00,electronic,workout,autoplay,208,0.7625,0,0,0,0,0,0
212,10739,4555,990,2025-02-26 00:38:10+00:00,ambient,sleep,search,248,0.9196,0,0,0,0,1,1
213,5070,4968,1317,2025-02-28 17:25:04+00:00,ambient,intentional,autoplay,179,0.8568,0,0,0,0,1,0
214,4238,2351,1837,2025-04-27 04:38:45+00:00,hip-hop,shared_account,recommendation,329,0.825,1,0,0,1,0,1
215,5040,218,1349,2025-02-09 22:17:00+00:00,dance,workout,playlist,228,0.5039,0,1,0,0,0,0
216,7128,218,1140,2025-06-19 13:42:13+00:00,ambient,party,search,290,0.5099,0,0,0,0,1,0
217,19112,5960,920,2025-05-20 10:48:42+00:00,classical,intentional,playlist,234,0.8005,0,0,1,0,1,0
218,13425,6745,462,2025-01-13 10:30:03+00:00,alt-pop,intentional,playlist,202,0.6683,1,0,0,1,1,0
219,13914,5210,1309,2025-03-19 23:41:54+00:00,dance,autoplay,recommendation,297,0.9657,0,0,0,0,0,1
220,1069,332,1885,2025-03-12 18:44:07+00:00,hip-hop,focus,autoplay,153,0.7257,0,0,0,0,0,1
221,218,2609,1167,2025-01-30 11:46:43+00:00,indie,intentional,autoplay,172,0.3397,0,0,1,0,1,0
222,6844,5845,448,2025-01-26 20:03:59+00:00,electronic,focus,playlist,280,0.4159,0,1,0,0,0,1
223,17753,6061,929,2025-05-04 14:51:06+00:00,dance,workout,autoplay,309,0.6558,0,0,0,0,0,0
224,322,3730,417,2025-04-20 17:29:20+00:00,indie,autoplay,autoplay,181,0.5944,0,0,0,0,0,1
225,15323,6882,738,2025-06-19 12:21:12+00:00,alt-pop,intentional,search,232,0.4772,0,0,0,1,1,0
226,16418,2836,1462,2025-05-02 06:49:20+00:00,hip-hop,autoplay,library,222,0.8785,0,0,0,1,1,1
227,5558,621,1975,2025-03-04 15:41:22+00:00,hip-hop,intentional,search,272,0.6297,1,0,1,0,1,0
228,2344,6552,844,2025-03-25 22:40:33+00:00,classical,sleep,playlist,224,0.9945,0,1,0,0,0,1
229,3070,6466,616,2025-05-05 16:00:51+00:00,indie,workout,recommendation,248,0.8512,0,0,0,0,0,0
230,1545,5458,989,2025-03-20 01:39:07+00:00,electronic,intentional,radio,260,0.8964,0,0,0,0,1,0
231,16873,7335,1464,2025-02-12 02:12:13+00:00,alt-pop,intentional,playlist,294,0.7544,0,0,0,0,1,0
232,15732,130,1209,2025-05-19 14:25:35+00:00,dance,focus,recommendation,149,0.9493,0,0,0,0,0,1
233,13456,5769,1544,2025-01-10 10:29:09+00:00,ambient,autoplay,library,259,0.9556,0,0,0,0,1,1
234,1791,6135,851,2025-03-18 22:48:45+00:00,electronic,sleep,search,157,0.8509,0,0,0,0,1,1
235,19004,3219,575,2025-04-02 02:30:24+00:00,ambient,autoplay,recommendation,122,0.7255,0,1,0,0,0,1
236,13686,3076,1799,2025-01-28 19:59:59+00:00,ambient,shared_account,recommendation,270,0.9236,0,0,0,1,0,1
237,16560,1622,1966,2025-05-07 17:55:44+00:00,alt-pop,focus,autoplay,201,0.9674,0,0,0,0,0,1
238,7598,3398,1407,2025-02-21 08:36:03+00:00,electronic,party,library,270,0.5159,0,0,1,1,1,0
239,3955,4738,681,2025-01-05 03:21:56+00:00,dance,intentional,recommendation,317,0.6176,1,1,0,1,1,0
